seed,plan_cost,naive_plan_cost,exec_us,rows,lineage,query
226,2374,3644,253,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT books.id, regions.id, books.price AS c1520
FROM books LEFT JOIN regions ON books.id = regions.id
WHERE ((regions.id < 10 OR books.price = 77) OR books.price > 60);"
227,1305662,1550422,1986,9,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT orders.id, books.price, orders.customer_id AS c7568
FROM orders FULL JOIN books ON orders.id = books.id
WHERE orders.customer_id = 63;"
228,100831,285106,925,1000,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 4; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT t1.id AS c1443, t2.region_id AS c2237
FROM employees AS t0 LEFT JOIN markets AS t1 ON t0.id = t1.id CROSS JOIN customers AS t2
WHERE ((t1.id < 3 OR t1.region = 'AMERICA') AND (t2.region_id IS NULL OR t1.note != 'North, South'));"
229,111140,228445,393,0,transformation 0 JoinCommutativity: 2; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT departments.id
FROM departments LEFT JOIN customers ON departments.id = customers.id CROSS JOIN markets
WHERE markets.region IS NULL
ORDER BY departments.id ASC;"
230,1309060,2258260,2139,5000,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT departments.id, users.age AS c5139, orders.id
FROM departments JOIN users ON departments.id = users.id FULL JOIN orders ON users.id = orders.id;"
231,610,610,147,5,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT departments.id
FROM departments;"
232,116575,651154,322,16,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT customers.id, COUNT(*) AS c3789
FROM customers RIGHT JOIN users ON customers.id = users.id
GROUP BY customers.id
ORDER BY customers.id DESC;"
233,109845,317650,643,1353,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT departments.id
FROM departments JOIN markets ON departments.id = markets.id CROSS JOIN customers
WHERE (customers.region_id NOT IN (10, 10) AND (customers.id <= 80 OR departments.id >= 1));"
234,2226,3466,165,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.note
FROM markets AS t0 FULL JOIN regions AS t1 ON t0.id = t1.id;"
235,68524,155544,239,1,transformation 7 FilterToJoinPredicate: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT t1.region_id AS c5511
FROM books AS t0 JOIN customers AS t1 ON t0.id = t1.id
WHERE (t0.price NOT BETWEEN 66 AND 94 OR (t0.id > 3 AND t1.region_id = 10));"
236,1311747,4366616,1376,17,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT t1.department_id AS c2338, t0.customer_id
FROM orders AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN users AS t2 ON t1.id = t2.id
ORDER BY t1.department_id ASC;"
237,134541,669120,1866,5010,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id
FROM users FULL JOIN customers ON users.id = customers.id CROSS JOIN regions;"
238,68974,436222,236,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 1; transformation 6 InToOrChain: 1; transformation 9 FilterLiftThroughJoin: 2; transformation 10 ProjectionPushdownThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1,"SELECT customers.region_id
FROM customers LEFT JOIN employees ON customers.id = employees.id
WHERE (employees.id IN (38) AND customers.region_id != 5);"
239,2690,2690,170,6,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT employees.id
FROM employees
WHERE employees.id > 5
GROUP BY employees.id
ORDER BY employees.id DESC;"
240,95524,95524,484,3,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.price AS c6143, SUM(t2.id)
FROM books AS t0 CROSS JOIN users AS t1 CROSS JOIN departments AS t2
GROUP BY t0.price;"
241,3759405,3875500,4325,25000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT customers.id, customers.region_id, departments.id
FROM customers RIGHT JOIN departments ON customers.id = departments.id CROSS JOIN orders;"
242,3038,5320,370,0,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT books.id
FROM books CROSS JOIN employees
WHERE (employees.id != 33 AND (employees.id < 1 AND employees.department_id < 12));"
243,678835,4353843,959,0,transformation 0 JoinCommutativity: 2; transformation 1 JoinAssociativity: 2; transformation 5 FilterPushdownThroughJoin: 1; transformation 9 FilterLiftThroughJoin: 2; transformation 11 OuterJoinToInner: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT employees.department_id, books.price AS c4475, books.id AS c4655
FROM orders JOIN employees ON orders.id = employees.id RIGHT JOIN books ON employees.id = books.id
WHERE ((orders.id >= 13 AND orders.customer_id != 233) OR (orders.id > 39 AND orders.customer_id <= 359))
ORDER BY books.id DESC;"
244,4057,12322,431,0,transformation 0 JoinCommutativity: 2; transformation 1 JoinAssociativity: 4; transformation 5 FilterPushdownThroughJoin: 2; transformation 9 FilterLiftThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT regions.id
FROM regions RIGHT JOIN employees ON regions.id = employees.id LEFT JOIN markets ON employees.id = markets.id
WHERE (regions.id NOT BETWEEN 2 AND 8 AND markets.note = 'Fast lane');"
245,433,433,280,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT markets.note, markets.region, markets.id
FROM markets
WHERE ((markets.region != 'AMERICA' AND markets.region = 'AMERICA') OR markets.id < 2)
ORDER BY markets.note DESC, markets.id ASC, markets.region DESC;"
246,1244,1244,150,9,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT regions.id AS c713
FROM regions
WHERE regions.id BETWEEN 2 AND 45;"
247,670078,1550848,1189,3,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id AS c7208
FROM orders AS t0 RIGHT JOIN books AS t1 ON t0.id = t1.id
WHERE t0.customer_id NOT IN (244, 365)
GROUP BY t0.id
ORDER BY t0.id ASC;"
248,1311645,6455252,3403,5000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, COUNT(*), SUM(t0.id) AS c7387
FROM users AS t0 RIGHT JOIN orders AS t1 ON t0.id = t1.id
WHERE ((t1.customer_id = 494 AND t1.customer_id != 145) OR (t0.age > 53 OR t1.customer_id IS NOT NULL))
GROUP BY t1.id;"
249,3488,5692,177,3,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.region, users.age
FROM markets LEFT JOIN users ON markets.id = users.id
WHERE users.id < 17;"
250,110640,401220,258,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT customers.id, customers.region_id
FROM regions LEFT JOIN customers ON regions.id = customers.id;"
251,1307530,4001775,1809,42,implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT orders.customer_id, regions.id, orders.id AS c3346
FROM regions FULL JOIN orders ON regions.id = orders.id
WHERE orders.id <= 42
ORDER BY regions.id ASC;"
252,4641438,7310933,6345,39,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT orders.id AS c8852, orders.customer_id, books.price AS c8813
FROM books CROSS JOIN orders FULL JOIN departments ON orders.id = departments.id
WHERE ((orders.customer_id = 163 OR orders.id IN (69, 96, 152)) AND (orders.id IS NOT NULL AND books.id IS NOT NULL))
ORDER BY orders.id DESC;"
253,81634,3916834,362,40,transformation 1 JoinAssociativity: 2; transformation 5 FilterPushdownThroughJoin: 1; transformation 9 FilterLiftThroughJoin: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT customers.id
FROM regions CROSS JOIN employees JOIN customers ON employees.id = customers.id
WHERE (employees.id IS NOT NULL AND customers.id >= 65);"
254,2418,3776,166,11,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.id AS c3977, employees.department_id
FROM markets FULL JOIN employees ON markets.id = employees.id;"
255,1975000,1975000,2178,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id, orders.customer_id AS c7286
FROM orders
GROUP BY orders.id, orders.customer_id;"
256,5474,7496,426,9,transformation 0 JoinCommutativity: 1; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, t1.id AS c9218
FROM markets AS t0 CROSS JOIN employees AS t1
WHERE t1.department_id IN (5, 12, 33)
GROUP BY t0.id, t1.id;"
257,2652,3922,247,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t1.price, t0.id AS c7828
FROM regions AS t0 JOIN books AS t1 ON t0.id = t1.id
GROUP BY t1.price, t0.id;"
258,75739,651158,303,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT customers.region_id
FROM customers JOIN users ON customers.id = users.id RIGHT JOIN markets ON customers.id = markets.id
GROUP BY customers.region_id
ORDER BY customers.region_id DESC;"
259,110500,110500,248,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id
FROM customers
ORDER BY customers.id ASC;"
260,72814,72814,233,118,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT customers.region_id, customers.id
FROM customers
WHERE ((customers.region_id IS NULL OR customers.id >= 198) AND customers.region_id <= 4);"
261,109628,155888,306,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT customers.region_id AS c4278, books.id
FROM books LEFT JOIN customers ON books.id = customers.id
GROUP BY customers.region_id, books.id
ORDER BY books.id ASC;"
262,15960,15960,259,110,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1,"SELECT t1.department_id AS c5186, t0.id, t1.id
FROM regions AS t0 CROSS JOIN employees AS t1;"
263,3077,6483,228,2,transformation 0 JoinCommutativity: 2; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT markets.id, departments.id, regions.id
FROM regions LEFT JOIN departments ON regions.id = departments.id JOIN markets ON regions.id = markets.id
WHERE markets.note != 'Old World'
ORDER BY markets.id ASC, regions.id DESC;"
264,112407,160636,399,500,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT users.id AS c6920, markets.region AS c5238, users.age AS c1104
FROM markets RIGHT JOIN users ON markets.id = users.id RIGHT JOIN customers ON markets.id = customers.id;"
265,5081,14820,202,17,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, t0.id AS c2693
FROM users AS t0 LEFT JOIN regions AS t1 ON t0.id = t1.id;"
266,59400,59400,235,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id AS c604, customers.region_id
FROM customers
WHERE customers.id = 135
ORDER BY customers.id DESC, customers.region_id DESC;"
267,422,422,127,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT books.id
FROM books
WHERE books.price IS NULL;"
268,76971400,76971400,140145,11,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT employees.department_id, SUM(orders.customer_id)
FROM orders CROSS JOIN books CROSS JOIN employees
GROUP BY employees.department_id;"
269,366,366,310,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT books.price AS c8205
FROM books;"
270,610000,610000,1415,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT orders.id AS c7922
FROM orders;"
271,534702,2250622,1096,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 3; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT orders.id AS c8902, departments.id AS c4368, orders.customer_id
FROM orders JOIN departments ON orders.id = departments.id
WHERE ((orders.customer_id = 483 AND departments.id > 4) AND orders.id != 24);"
272,850563,1550563,1892,2,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.customer_id, orders.id, COUNT(*), COUNT(*)
FROM orders RIGHT JOIN books ON orders.id = books.id
WHERE books.id != 1
GROUP BY orders.customer_id, orders.id;"
273,3256,3256,150,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, SUM(t0.department_id), COUNT(t0.department_id)
FROM employees AS t0
GROUP BY t0.id;"
274,2066,2066,132,2,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id AS c7269, t0.age
FROM users AS t0
WHERE t0.age IN (33, 33);"
275,545750,545750,1554,0,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT orders.id AS c6877
FROM orders
WHERE ((orders.customer_id <= 56 OR orders.customer_id != 343) AND (orders.customer_id IN (52, 86) AND orders.customer_id >= 224));"
276,3536700,3536700,2615,11,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT users.age AS c7960, SUM(users.id)
FROM customers CROSS JOIN users
GROUP BY users.age
ORDER BY users.age ASC;"
277,774,774,191,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id
FROM departments AS t0
WHERE ((t0.id IN (2, 10, 59) OR t0.id IS NULL) AND (t0.id != 5 AND t0.id IS NOT NULL))
GROUP BY t0.id
ORDER BY t0.id DESC;"
278,4334,8638,211,5,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id AS c8751
FROM users AS t0 RIGHT JOIN departments AS t1 ON t0.id = t1.id
WHERE (t0.age IS NULL OR (t1.id != 5 OR t1.id < 14));"
279,676493,4001263,1252,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 9 FilterLiftThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT regions.id, orders.id, COUNT(*), SUM(orders.customer_id)
FROM orders RIGHT JOIN regions ON orders.id = regions.id
WHERE ((regions.id IN (8, 9, 22) AND regions.id <= 6) AND orders.id IN (39, 49, 104, 106))
GROUP BY regions.id, orders.id;"
280,679538,6451822,1025,0,transformation 5 FilterPushdownThroughJoin: 1; transformation 7 FilterToJoinPredicate: 1; transformation 9 FilterLiftThroughJoin: 2; transformation 10 ProjectionPushdownThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1,"SELECT orders.customer_id
FROM users FULL JOIN orders ON users.id = orders.id
WHERE ((users.age > 33 AND orders.customer_id < 84) AND (users.id = 15 OR orders.id IN (68, 128, 128, 198)));"
281,433,433,167,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, t0.note, t0.region
FROM markets AS t0
WHERE ((t0.note = 'unknown' AND t0.id != 1) AND t0.id > 67)
ORDER BY t0.id ASC, t0.note DESC;"
282,2588310,13612010,1854,9,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT employees.id, orders.customer_id AS c5471, books.price
FROM books CROSS JOIN orders LEFT JOIN employees ON orders.id = employees.id
WHERE employees.id > 66;"
283,68793,521733,358,0,transformation 0 JoinCommutativity: 2; transformation 1 JoinAssociativity: 2; transformation 3 FilterMerge: 1; transformation 5 FilterPushdownThroughJoin: 3; transformation 6 InToOrChain: 2; transformation 9 FilterLiftThroughJoin: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT books.id, markets.id, books.price AS c2723
FROM books CROSS JOIN customers FULL JOIN markets ON customers.id = markets.id
WHERE ((markets.id > 55 AND customers.region_id NOT IN (8, 9, 10)) AND markets.region IN ('AMERICA', 'EUROPE'))
ORDER BY books.id DESC, markets.id ASC;"
284,822,822,143,2,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.region AS c1153, SUM(t0.id) AS c3569
FROM markets AS t0
GROUP BY t0.region
ORDER BY t0.region ASC;"
285,5364,10836,332,0,transformation 0 JoinCommutativity: 2; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT employees.id AS c5654, users.id
FROM markets FULL JOIN employees ON markets.id = employees.id CROSS JOIN users
WHERE ((markets.note = 'Fast lane' AND employees.department_id NOT BETWEEN 11 AND 37) AND (users.id != 4 AND users.age <= 443));"
286,109668,225774,393,3,implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT customers.id, COUNT(customers.id) AS c434, COUNT(*)
FROM customers FULL JOIN departments ON customers.id = departments.id
WHERE departments.id BETWEEN 2 AND 4
GROUP BY customers.id
ORDER BY customers.id DESC;"
287,3181,5072,278,7,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT t2.id, t1.id, t0.id
FROM books AS t0 JOIN departments AS t1 ON t0.id = t1.id RIGHT JOIN regions AS t2 ON t1.id = t2.id
WHERE t0.id IS NULL;"
288,5252,15332,178,1,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id AS c1673
FROM users JOIN regions ON users.id = regions.id
WHERE (users.age IN (33, 47, 98) OR users.id > 54);"
289,1883,2493,414,3,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT departments.id, books.price AS c551
FROM departments CROSS JOIN books
WHERE departments.id = 5
ORDER BY departments.id DESC;"
290,679184,4353832,1026,2,transformation 0 JoinCommutativity: 2; transformation 1 JoinAssociativity: 2; transformation 5 FilterPushdownThroughJoin: 1; transformation 9 FilterLiftThroughJoin: 2; transformation 11 OuterJoinToInner: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t2.region, t1.department_id, t0.customer_id AS c8493
FROM orders AS t0 JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN markets AS t2 ON t1.id = t2.id
WHERE t0.customer_id < 239;"
291,12321160,68844660,4406,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.id, COUNT(orders.id), SUM(regions.id)
FROM users CROSS JOIN orders JOIN regions ON orders.id = regions.id
GROUP BY orders.id;"
292,888,888,175,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.region, t0.id, SUM(t0.id), COUNT(*)
FROM markets AS t0
GROUP BY t0.region, t0.id
ORDER BY t0.region ASC, t0.id DESC;"
293,2292,5692,281,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT t0.age, t1.id
FROM users AS t0 FULL JOIN books AS t1 ON t0.id = t1.id
WHERE (t0.age = 18 AND (t0.age != 123 AND t1.id <= 89));"
294,848,848,165,3,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT books.price AS c6589, books.id, COUNT(*)
FROM books
WHERE ((books.price > 77 OR books.id < 3) OR (books.price IN (49, 55, 55, 77) OR books.price IN (26, 66, 66, 68)))
GROUP BY books.price, books.id;"
